num_bsns_tot_num_bsns_num, yr, lga_code17, lga_name17
3871,2016,"58510","Victoria Park (T)"
687,2016,"59340","Wyndham-East Kimberley (S)"
4,2016,"59350","Yalgoo (S)"
157,2016,"58540","Victoria Plains (S)"
551,2016,"60410","Brighton (M)"
1150,2016,"60610","Burnie (C)"
1409,2016,"60810","Central Coast (M) (Tas.)"
225,2016,"61010","Central Highlands (M) (Tas.)"
869,2016,"61210","Circular Head (M)"
3013,2016,"61410","Clarence (C)"
424,2016,"61510","Derwent Valley (M)"
1657,2016,"61610","Devonport (C)"
5299,2016,"58570","Vincent (C)"
907,2016,"61810","Dorset (M)"
148,2016,"62010","Flinders (M) (Tas.)"
310,2016,"62210","George Town (M)"
438,2016,"62410","Glamorgan/Spring Bay (M)"
2210,2016,"62610","Glenorchy (C)"
249,2016,"58610","Wagin (S)"
5976,2016,"62810","Hobart (C)"
146,2016,"59100","Wickepin (S)"
1152,2016,"63010","Huon Valley (M)"
470,2016,"63210","Kentish (M)"
298,2016,"63410","King Island (M)"
2328,2016,"63610","Kingborough (M)"
738,2016,"63810","Latrobe (M) (Tas.)"
5332,2016,"64010","Launceston (C)"
1569,2016,"64210","Meander Valley (M)"
1088,2016,"64610","Northern Midlands (M)"
787,2016,"64810","Sorell (M)"
523,2016,"65010","Southern Midlands (M)"
176,2016,"59170","Williams (S)"
185,2016,"65210","Tasman (M)"
845,2016,"65410","Waratah/Wynyard (M)"
193,2016,"65610","West Coast (M)"
7016,2016,"71000","Darwin (C)"
19,2016,"71300","East Arnhem (R)"
775,2016,"72200","Katherine (T)"
26,2016,"59250","Wiluna (S)"
1777,2016,"72300","Litchfield (M)"
230,2016,"59310","Wongan-Ballidu (S)"
84,2016,"59320","Woodanilling (S)"
157,2016,"59360","Yilgarn (S)"
432,2016,"59370","York (S)"
524,2016,"60210","Break O'Day (M)"
201,2016,"70420","Barkly (R)"
23,2016,"74560","Wagait (S)"
null,2016,"70540","Belyuen (S)"
8,2016,"70620","Central Desert (R)"
144,2016,"70700","Coomalie (S)"
33,2016,"72330","MacDonnell (R)"
1460,2016,"72800","Palmerston (C)"
95,2016,"73600","Roper Gulf (R)"
5,2016,"74050","Tiwi Islands (R)"
56,2016,"74550","Victoria Daly (R)"
