lbr_frc_statistics_unemp_num, yr, lga_code17, lga_name17, p_post_scl_qual_p_post_scl_qual_pr100
517,2016,"33980","Isaac (R)",60.9
133,2016,"34420","Kowanyama (S)",32.6
1331,2016,"34530","Livingstone (S)",57.5
33,2016,"34570","Lockhart River (S)",45.6
1393,2016,"34580","Lockyer Valley (R)",51.8
12825,2016,"34590","Logan (C)",53.5
70,2016,"34710","Longreach (R)",56.2
43,2016,"47910","Tumby Bay (DC)",47.8
119,2016,"52730","Denmark (S)",64.8
298,2016,"32810","Douglas (S)",64.2
20,2016,"33100","Etheridge (S)",44.5
57,2016,"37300","Weipa (T)",66.8
2259,2016,"48410","West Torrens (C)",59.2
1177,2016,"48540","Whyalla (C)",51.7
971,2016,"37310","Western Downs (R)",53.2
1121,2016,"37340","Whitsunday (R)",59.5
43,2016,"37550","Woorabinda (S)",38.6
533,2016,"40310","Barossa (DC)",56.3
56,2016,"40430","Barunga West (DC)",45.1
315,2016,"40520","Berri and Barmera (DC)",48.5
174,2016,"40250","Anangu Pitjantjatjara (AC)",41.8
868,2016,"50080","Albany (C)",57.6
24,2016,"37400","Winton (S)",48.3
1720,2016,"40910","Campbelltown (C) (SA)",57.1
55,2016,"41010","Ceduna (DC)",51.4
3962,2016,"41060","Charles Sturt (C)",55.8
3655,2016,"50210","Armadale (C)",58.3
70,2016,"41330","Coober Pedy (DC)",58.7
151,2016,"41140","Clare and Gilbert Valleys (DC)",55.4
477,2016,"41560","Copper Coast (DC)",48.8
24,2016,"41750","Elliston (DC)",48.3
168,2016,"50250","Ashburton (S)",72.3
27,2016,"37570","Wujal Wujal (S)",39.6
114,2016,"42110","Goyder (DC)",48.7
147,2016,"42250","Grant (DC)",55.1
335,2016,"50280","Augusta-Margaret River (S)",65.7
621,2016,"50350","Bassendean (T)",60.9
26,2016,"43080","Karoonda East Murray (DC)",43.1
2782,2016,"50420","Bayswater (C)",62.9
123,2016,"43710","Lower Eyre Peninsula (DC)",56.6
249,2016,"43790","Loxton Waikerie (DC)",47.6
304,2016,"43920","Mallala (DC)",48.2
1794,2016,"50490","Belmont (C)",61.7
39,2016,"50560","Beverley (S)",53.6
285,2016,"37600","Yarrabah (S)",35.9
49,2016,"50630","Boddington (S)",55.1
1255,2016,"40070","Adelaide (C)",67.3
835,2016,"44620","Mount Gambier (C)",50.0
39,2016,"50770","Boyup Brook (S)",51.0
121,2016,"50840","Bridgetown-Greenbushes (S)",59.4
898,2016,"40120","Adelaide Hills (DC)",65.9
623,2016,"40220","Alexandrina (DC)",57.8
1270,2016,"40700","Burnside (C)",68.1
37,2016,"50910","Brookton (S)",48.1
513,2016,"50980","Broome (S)",65.3
23,2016,"41190","Cleve (DC)",49.0
976,2016,"51260","Busselton (C)",60.0
725,2016,"51310","Cambridge (T)",73.6
4777,2016,"51330","Canning (C)",62.3
582,2016,"51400","Capel (S)",59.9
48,2016,"41830","Flinders Ranges (DC)",51.5
17,2016,"51470","Carnamah (S)",48.9
165,2016,"51540","Carnarvon (S)",55.6
27,2016,"51610","Chapman Valley (S)",57.2
385,2016,"52800","Derby-West Kimberley (S)",53.9
169,2016,"52870","Donnybrook-Balingup (S)",58.2
20,2016,"53640","Gnowangerup (S)",51.1
40,2016,"41960","Franklin Harbour (DC)",47.5
901,2016,"42030","Gawler (T)",52.7
1006,2016,"42600","Holdfast Bay (C)",64.3
118,2016,"42750","Kangaroo Island (DC)",55.9
12,2016,"43220","Kimba (DC)",46.9
48,2016,"43360","Kingston (DC) (SA)",48.0
412,2016,"43650","Light (RegC)",54.8
null,2016,"44000","Maralinga Tjarutja (AC)",94.0
75,2016,"44830","Mount Remarkable (DC)",50.1
817,2016,"45040","Murray Bridge (RC)",48.2
18,2016,"45400","Orroroo/Carrieton (DC)",49.9
3164,2016,"44060","Marion (C)",59.2
230,2016,"44210","Mid Murray (DC)",50.6
1962,2016,"44340","Mitcham (C)",66.1
898,2016,"44550","Mount Barker (DC)",60.8
172,2016,"45090","Naracoorte and Lucindale (DC)",48.9
75,2016,"45540","Peterborough (DC)",41.0
101,2016,"45120","Northern Areas (DC)",50.1
1211,2016,"45290","Norwood Payneham St Peters (C)",65.0
6224,2016,"45340","Onkaparinga (C)",56.8
79,2016,"46970","Roxby Downs (M)",64.6
4773,2016,"45680","Playford (C)",47.2
5379,2016,"45890","Port Adelaide Enfield (C)",55.2
567,2016,"46090","Port Augusta (C)",53.7
421,2016,"46300","Port Lincoln (C)",52.9
781,2016,"46450","Port Pirie City and Dists (M)",45.7
726,2016,"46510","Prospect (C)",63.9
6434,2016,"47140","Salisbury (C)",48.8
38,2016,"47290","Southern Mallee (DC)",46.2
44,2016,"47490","Streaky Bay (DC)",50.5
303,2016,"46670","Renmark Paringa (DC)",47.1
20,2016,"46860","Robe (DC)",58.5
1146,2016,"47980","Unley (C)",67.9
357,2016,"48050","Victor Harbor (C)",55.0
192,2016,"48130","Wakefield (DC)",46.7
148,2016,"51960","Coolgardie (S)",51.9
40,2016,"52030","Coorow (S)",48.4
208,2016,"48260","Walkerville (M)",66.8
331,2016,"48340","Wattle Range (DC)",47.9
12,2016,"48640","Wudinna (DC)",44.4
3,2016,"52380","Cue (S)",54.8
134,2016,"48750","Yankalilla (DC)",56.2
245,2016,"48830","Yorke Peninsula (DC)",47.0
96,2016,"49399","Unincorporated SA",58.2
35,2016,"51080","Broomehill-Tambellup (S)",52.8
16,2016,"51120","Bruce Rock (S)",49.8
1333,2016,"51190","Bunbury (C)",57.3
161,2016,"51680","Chittering (S)",56.5
257,2016,"51750","Claremont (T)",72.8
160,2016,"53920","Halls Creek (S)",53.9
978,2016,"53990","Harvey (S)",56.7
118,2016,"54060","Irwin (S)",53.2
13,2016,"54130","Jerramungup (S)",55.0
5813,2016,"54170","Joondalup (C)",63.2
2071,2016,"54200","Kalamunda (C)",58.5
4255,2016,"51820","Cockburn (C)",61.0
407,2016,"51890","Collie (S)",51.4
2029,2016,"54830","Kwinana (C)",58.8
22,2016,"52100","Corrigin (S)",47.7
8,2016,"54900","Lake Grace (S)",50.7
189,2016,"52170","Cottesloe (T)",77.1
36,2016,"52450","Cunderdin (S)",46.0
15,2016,"52240","Cranbrook (S)",51.4
20,2016,"52310","Cuballing (S)",54.1
25,2016,"52520","Dalwallinu (S)",47.6
