yr, lga_code17, solar_inst_small_scale_solar_panel_sys_inst_num, lga_name17
2016,"47980",3399,"Unley (C)"
2016,"48050",3438,"Victor Harbor (C)"
2016,"48130",1035,"Wakefield (DC)"
2016,"51960",119,"Coolgardie (S)"
2016,"52030",136,"Coorow (S)"
2016,"48260",724,"Walkerville (M)"
2016,"48340",1373,"Wattle Range (DC)"
2016,"48410",5122,"West Torrens (C)"
2016,"48540",3215,"Whyalla (C)"
2016,"48640",184,"Wudinna (DC)"
2016,"52380",19,"Cue (S)"
2016,"48750",1279,"Yankalilla (DC)"
2016,"48830",3087,"Yorke Peninsula (DC)"
2016,"49399",292,"Unincorporated SA"
2016,"50080",2239,"Albany (C)"
2016,"50210",8218,"Armadale (C)"
2016,"50250",29,"Ashburton (S)"
2016,"50280",1109,"Augusta-Margaret River (S)"
2016,"53570",904,"Gingin (S)"
2016,"53640",112,"Gnowangerup (S)"
2016,"51080",77,"Broomehill-Tambellup (S)"
2016,"51120",131,"Bruce Rock (S)"
2016,"51190",2866,"Bunbury (C)"
2016,"51260",3918,"Busselton (C)"
2016,"51680",741,"Chittering (S)"
2016,"51750",640,"Claremont (T)"
2016,"54130",65,"Jerramungup (S)"
2016,"54170",16223,"Joondalup (C)"
2016,"54200",6277,"Kalamunda (C)"
2016,"51820",10332,"Cockburn (C)"
2016,"51890",995,"Collie (S)"
2016,"52100",157,"Corrigin (S)"
2016,"52170",361,"Cottesloe (T)"
2016,"52450",102,"Cunderdin (S)"
2016,"52520",104,"Dalwallinu (S)"
2016,"52590",474,"Dandaragan (S)"
2016,"52660",1634,"Dardanup (S)"
2016,"52730",571,"Denmark (S)"
2016,"52800",134,"Derby-West Kimberley (S)"
2016,"52870",825,"Donnybrook-Balingup (S)"
2016,"52940",55,"Dowerin (S)"
2016,"53010",52,"Dumbleyung (S)"
2016,"53080",38,"Dundas (S)"
2016,"53150",458,"East Fremantle (T)"
2016,"53220",95,"East Pilbara (S)"
2016,"53290",547,"Esperance (S)"
2016,"53360",129,"Exmouth (S)"
2016,"53430",2209,"Fremantle (C)"
2016,"54280",1263,"Kalgoorlie/Boulder (C)"
2016,"54310",302,"Karratha (C)"
2016,"53710",82,"Goomalling (S)"
2016,"53780",12741,"Gosnells (C)"
2016,"53800",3258,"Greater Geraldton (C)"
2016,"53920",22,"Halls Creek (S)"
2016,"53990",2915,"Harvey (S)"
2016,"54060",425,"Irwin (S)"
2016,"54340",297,"Katanning (S)"
2016,"54410",123,"Kellerberrin (S)"
2016,"54480",24,"Kent (S)"
2016,"54550",143,"Kojonup (S)"
2016,"54620",54,"Kondinin (S)"
2016,"54690",24,"Koorda (S)"
2016,"54760",99,"Kulin (S)"
2016,"54830",3922,"Kwinana (C)"
2016,"54900",78,"Lake Grace (S)"
2016,"54970",13,"Laverton (S)"
2016,"55040",216,"Leonora (S)"
2016,"55950",57,"Mukinbudin (S)"
2016,"55110",11876,"Mandurah (C)"
2016,"55180",684,"Manjimup (S)"
2016,"55250",47,"Meekatharra (S)"
2016,"55320",8311,"Melville (C)"
2016,"55390",12,"Menzies (S)"
2016,"55530",41,"Mingenew (S)"
2016,"55460",326,"Merredin (S)"
2016,"55810",43,"Mount Magnet (S)"
2016,"56090",4031,"Mundaring (S)"
2016,"55600",233,"Moora (S)"
2016,"55880",29,"Mount Marshall (S)"
2016,"56620",11,"Ngaanyatjarraku (S)"
2016,"55670",58,"Morawa (S)"
2016,"56860",20,"Nungarin (S)"
2016,"56930",72,"Peppermint Grove (S)"
2016,"55740",423,"Mosman Park (T)"
2016,"57770",88,"Shark Bay (S)"
2016,"57840",2387,"South Perth (C)"
2016,"57910",12830,"Stirling (C)"
2016,"57280",192,"Port Hedland (T)"
2016,"57350",139,"Quairading (S)"
2016,"57420",116,"Ravensthorpe (S)"
2016,"57490",15439,"Rockingham (C)"
2016,"58260",57,"Three Springs (S)"
2016,"70200",1655,"Alice Springs (T)"
2016,"56160",6,"Murchison (S)"
2016,"56230",2752,"Murray (S)"
2016,"56300",185,"Nannup (S)"
2016,"59350",19,"Yalgoo (S)"
2016,"56370",75,"Narembeen (S)"
2016,"61210",321,"Circular Head (M)"
2016,"61410",3057,"Clarence (C)"
2016,"61510",488,"Derwent Valley (M)"
2016,"61610",1157,"Devonport (C)"
2016,"61810",497,"Dorset (M)"
2016,"62010",149,"Flinders (M) (Tas.)"
2016,"62210",478,"George Town (M)"
2016,"62410",454,"Glamorgan/Spring Bay (M)"
2016,"62610",1938,"Glenorchy (C)"
2016,"62810",2234,"Hobart (C)"
2016,"63010",1299,"Huon Valley (M)"
2016,"63210",421,"Kentish (M)"
2016,"63410",222,"King Island (M)"
2016,"63610",2477,"Kingborough (M)"
2016,"63810",646,"Latrobe (M) (Tas.)"
2016,"64010",3065,"Launceston (C)"
2016,"64210",1205,"Meander Valley (M)"
2016,"64610",748,"Northern Midlands (M)"
2016,"64810",990,"Sorell (M)"
2016,"65010",359,"Southern Midlands (M)"
2016,"65210",223,"Tasman (M)"
2016,"65410",766,"Waratah/Wynyard (M)"
2016,"56460",408,"Narrogin (S)"
2016,"65610",161,"West Coast (M)"
2016,"71300",84,"East Arnhem (R)"
2016,"72200",319,"Katherine (T)"
2016,"72300",803,"Litchfield (M)"
2016,"56580",1144,"Nedlands (C)"
2016,"74550",29,"Victoria Daly (R)"
2016,"56730",1100,"Northam (S)"
2016,"56790",363,"Northampton (S)"
2016,"57630",19,"Sandstone (S)"
2016,"57700",3120,"Serpentine-Jarrahdale (S)"
2016,"57000",37,"Perenjori (S)"
2016,"57080",460,"Perth (C)"
2016,"57140",112,"Pingelly (S)"
2016,"57210",405,"Plantagenet (S)"
2016,"57980",753,"Subiaco (C)"
2016,"58050",13856,"Swan (C)"
2016,"58190",30,"Tammin (S)"
2016,"58330",766,"Toodyay (S)"
2016,"58400",29,"Trayning (S)"
2016,"59030",37,"Westonia (S)"
2016,"58470",15,"Upper Gascoyne (S)"
2016,"74560",null,"Wagait (S)"
2016,"58510",1822,"Victoria Park (T)"
2016,"65810",1713,"West Tamar (M)"
2016,"74660",64,"West Arnhem (R)"
2016,"58540",73,"Victoria Plains (S)"
2016,"74680",33,"West Daly (R)"
2016,"79399",100,"Unincorporated NT"
2016,"89399",17527,"Unincorporated ACT"
2016,"99399",646,"Unincorp. Other Territories"
